genome	cluster.x	size.x	extended_phylogeny.x	succinct_phylogeny.x	final_representative.x	rep_accession.x	final_classification.x	genus_count	designated_type_species	updated_classification.x	initial_classification.x	accession	genome_extended.x	genome_type.x	is_95ANI_rep.x	new_isolate.x	isolate_origin.x	name	cluster.y	size.y	extended_phylogeny.y	succinct_phylogeny.y	final_representative.y	rep_accession.y	ecogenomics_classificaion	classification_preprint	final_classification.y	updated_classification.y	initial_classification.y	accession_underscore	genome_extended.y	genome_type.y	is_95ANI_rep.y	new_isolate.y	existing_isolate	isolate_origin.y	RefSeq_Assembly_.IMG_Genome_ID	SAG_or_Isolate_ID	Genome_Origin	Subgroup	Included_in_read_recruitment	Sampling_Date_MM.DD.YY	Depth_m	Latitude_deg	Longitude_deg	Completeness.x	Contamination.x	GC.x	Genome_Size	Longest_Contig	Mean_Contig_Length	N50_contigs	Ambiguous_Bases	X._Predicted_Genes	X._Contigs	reference	Category	SAG	Sample	project	cruise_name	cruise_id	station	bottle_id	depth_m.x	latitude_degrees_north	longitude_degrees_east	sample_date	longhurst_province	full_file_name	GC.y	GC.std	Genome.size	X..ambiguous.bases	X..scaffolds	X..contigs	Longest.scaffold	Longest.contig	N50..scaffolds.	N50..contigs.	Mean.scaffold.length	Mean.contig.length	Coding.density	Translation.table	X..predicted.genes	Completeness.y	Contamination.y	number	X95_rep	mia_incl	type.x	lineage	environment_type	depth_m.y	cluster_88	cluster_95	cluster_98	red77	node_77	red88	node_88	red92	node_92	user_genome	user_genome.1	classification	genus_gtdb_count	msa_percent	closest_genome_ani	domain_gtdb	phylum_gtdb	class_gtdb	order_gtdb	family_gtdb	genus_gtdb	species_gtdb	X	X.1
GCA_902629285_1_AH_324_J07	cluster_000233	1	include	include	GCA_902629285.1_AH-324-J07	GCA_902629285.1	Ia.3.V	6	FALSE	Ia.3.V	Ia.3.V	GCA_902629285.1	GCA_902629285.1_AH-324-J07	SAG	TRUE	NA	NA	GCA_902629285_1_AH_324_J07	cluster_000233	1	include	include	GCA_902629285.1_AH-324-J07	GCA_902629285.1	NA	Ia.3.V	Ia.3.V	Ia.3.V	Ia.3.V	GCA_902629285_1	GCA_902629285.1_AH-324-J07	SAG	TRUE	NA	NA	NA	GCA_902629285.1	AH-324-J07	SAG	Ia.3.V	yes	NA	NA	-3.04	-166.01	89.6	0	0.2897	1309982	170641	36388.3889	87761	0	1385	36	Pachiadaki_et_al__2019	SAG	AH-324-J07	121 Fiji-Hawaii 2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GCA_902629285.1_AH-324-J07_genomic	0.289732989	0.027636364	1309982	0	36	36	170641	170641	87761	87761	36388.38889	36388.38889	0.964468977	11	1385	89.57345972	0	379	yes	incl	SAG	Ia.3.V	offshore	100	cluster_000016	cluster_000358	cluster_000110	RED77_6	557	RED88_23	567	RED92_47	568	GCA_902629285.1	GCA_902629285.1_AH-324-J07_equatorial_SAR11_Surface1_Fiji-Hawaii_100	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902629285	12	80.48	100	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__AG-422-B15	g__CACCCN01	s__CACCCN01 sp902544525	NA	NA
GCA_902624045_1_AH_287_E09	cluster_000286	1	include	include	GCA_902624045.1_AH-287-E09	GCA_902624045.1	Ia.3.V	6	FALSE	Ia.3.V	Ia.3.V	GCA_902624045.1	GCA_902624045.1_AH-287-E09	SAG	TRUE	NA	NA	GCA_902624045_1_AH_287_E09	cluster_000286	1	include	include	GCA_902624045.1_AH-287-E09	GCA_902624045.1	NA	Ia.3.V	Ia.3.V	Ia.3.V	Ia.3.V	GCA_902624045_1	GCA_902624045.1_AH-287-E09	SAG	TRUE	NA	NA	NA	GCA_902624045.1	AH-287-E09	SAG	Ia.3.V	yes	NA	NA	-3.04	-166.01	86.3	0.2	0.2949	1149207	154528	21683.1509	43338	0	1248	53	Pachiadaki_et_al__2019	SAG	AH-287-E09	117 Fiji-Hawaii 2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GCA_902624045.1_AH-287-E09_genomic	0.294907706	0.025608204	1149207	0	53	53	154528	154528	43338	43338	21683.15094	21683.15094	0.964311042	11	1248	86.33132271	0.236966825	364	yes	incl	SAG	Ia.3.V	offshore	15	cluster_000016	cluster_000297	cluster_000433	RED77_6	557	RED88_23	567	RED92_47	568	GCA_902624045.1	GCA_902624045.1_AH-287-E09_equatorial_SAR11_Surface1_Fiji-Hawaii_15	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902624045	12	86.53	96.33	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__HIMB114	s__HIMB114 sp000163555	NA	NA
GCA_902628965_1_AH_324_F03	cluster_000142	1	include	include	GCA_902628965.1_AH-324-F03	GCA_902628965.1	Ia.3.V	6	FALSE	Ia.3.V	Ia.3.V	GCA_902628965.1	GCA_902628965.1_AH-324-F03	SAG	TRUE	NA	NA	GCA_902628965_1_AH_324_F03	cluster_000142	1	include	include	GCA_902628965.1_AH-324-F03	GCA_902628965.1	NA	Ia.3.V	Ia.3.V	Ia.3.V	Ia.3.V	GCA_902628965_1	GCA_902628965.1_AH-324-F03	SAG	TRUE	NA	NA	NA	GCA_902628965.1	AH-324-F03	SAG	Ia.3.V	yes	NA	NA	-3.04	-166.01	93.4	0	0.2907	1217759	299162	41991.6897	118672	0	1299	29	Pachiadaki_et_al__2019	SAG	AH-324-F03	121 Fiji-Hawaii 2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GCA_902628965.1_AH-324-F03_genomic	0.290713516	0.033583229	1217759	0	29	29	299162	299162	118672	118672	41991.68966	41991.68966	0.964082384	11	1299	93.37210972	0	378	yes	incl	SAG	Ia.3.V	offshore	100	cluster_000016	cluster_000112	cluster_000229	RED77_6	557	RED88_23	567	RED92_47	568	GCA_902628965.1	GCA_902628965.1_AH-324-F03_equatorial_SAR11_Surface1_Fiji-Hawaii_100	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902628965	12	83.75	100	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__AG-422-B15	g__AG-422-B15	s__AG-422-B15 sp902544065	NA	NA
GCA_902623075_1_AH_287_B07	cluster_000009	1	include	include	GCA_902623075.1_AH-287-B07	GCA_902623075.1	Ia.3.V	6	FALSE	Ia.3.V	Ia.3.V	GCA_902623075.1	GCA_902623075.1_AH-287-B07	SAG	TRUE	NA	NA	GCA_902623075_1_AH_287_B07	cluster_000009	1	include	include	GCA_902623075.1_AH-287-B07	GCA_902623075.1	NA	Ia.3.V	Ia.3.V	Ia.3.V	Ia.3.V	GCA_902623075_1	GCA_902623075.1_AH-287-B07	SAG	TRUE	NA	NA	NA	GCA_902623075.1	AH-287-B07	SAG	Ia.3.V	yes	4/23/07	NA	-3.04	-166.01	87.4	0.5	0.2936	1206709	213346	38926.0968	93640	0	1287	31	Pachiadaki_et_al__2019	SAG	AH-287-B07	117 Fiji-Hawaii 2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GCA_902623075.1_AH-287-B07_genomic	0.293640803	0.036815397	1206709	0	31	31	213346	213346	93640	93640	38926.09677	38926.09677	0.962626449	11	1287	87.44075829	0.473933649	357	yes	incl	SAG	Ia.3.V	offshore	15	cluster_000016	cluster_000304	cluster_000443	RED77_6	557	RED88_23	567	RED92_47	568	GCA_902623075.1	GCA_902623075.1_AH-287-B07_equatorial_SAR11_Surface1_Fiji-Hawaii_15	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902623075	12	71.46	100	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__GCA-2704625	s__GCA-2704625 sp003209895	NA	NA
GCA_902589455_1_AG_439_D05	cluster_000345	1	include	include	GCA_902589455.1_AG-439-D05	GCA_902589455.1	Ia.3.V	6	FALSE	Ia.3.V	Ia.3.V	GCA_902589455.1	GCA_902589455.1_AG-439-D05	SAG	TRUE	NA	NA	GCA_902589455_1_AG_439_D05	cluster_000345	1	include	include	GCA_902589455.1_AG-439-D05	GCA_902589455.1	NA	Ia.3.V	Ia.3.V	Ia.3.V	Ia.3.V	GCA_902589455_1	GCA_902589455.1_AG-439-D05	SAG	TRUE	NA	NA	NA	GCA_902589455.1	AG-439-D05	SAG	Ia.3.V	yes	12/10/11	71.6	17.4	-24.5	89.5	0	0.295	1188734	248282	56606.381	205069	0	1257	21	Pachiadaki_et_al__2019	SAG	AG-439-D05	SWC-18	GEOTRACES	GA03(L2)	KN204	24	846716	71.6	17.4	_24.5	12/10/11	NATR	GCA_902589455.1_AG-439-D05_genomic	0.295031521	0.020852603	1188734	0	21	21	248282	248282	205069	205069	56606.38095	56606.38095	0.963973437	11	1257	89.53037484	0	242	yes	incl	SAG	Ia.3.V	offshore	71.6	cluster_000016	cluster_000143	cluster_000021	RED77_6	557	RED88_23	567	RED92_47	568	GCA_902589455.1	GCA_902589455.1_AG-439-D05_TENATSO_time-series_station_SAR11_Surface1_Mid_S_Atlantic_72	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902589455	12	73.37	100	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__Pelagibacter	s__Pelagibacter sp902584995	NA	NA
GCA_902611405_1_AG_891_A05	cluster_000143	1	include	include	GCA_902611405.1_AG-891-A05	GCA_902611405.1	Ia.3.V	6	FALSE	Ia.3.V	Ia.3.V	GCA_902611405.1	GCA_902611405.1_AG-891-A05	SAG	TRUE	NA	NA	GCA_902611405_1_AG_891_A05	cluster_000143	1	include	include	GCA_902611405.1_AG-891-A05	GCA_902611405.1	NA	Ia.3.V	Ia.3.V	Ia.3.V	Ia.3.V	GCA_902611405_1	GCA_902611405.1_AG-891-A05	SAG	TRUE	NA	NA	NA	GCA_902611405.1	AG-891-A05	SAG	Ia.3.V	yes	7/14/09	10	31.07	-64.17	89.7	0.2	0.2933	1217377	227191	31214.7949	79925	0	1309	39	Pachiadaki_et_al__2019	SAG	AG-891-A05	SWC-09	BATS	BATS248	AE0916	BATS	1024800403	10	31.07	_64.17	7/14/09	NASW	GCA_902611405.1_AG-891-A05_genomic	0.293258374	0.037210623	1217377	0	39	39	227191	227191	79925	79925	31214.79487	31214.79487	0.965272878	11	1309	89.7314376	0.236966825	302	yes	incl	SAG	Ia.3.V	offshore	10	cluster_000016	cluster_000348	cluster_000233	RED77_6	557	RED88_23	567	RED92_47	568	GCA_902611405.1	GCA_902611405.1_AG-891-A05_BATS_Mixed_Layer_~20%_narB_SAR11_Surface1_Station_BATS_10	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902611405	12	74.36	100	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__GCA-2704625	s__GCA-2704625 sp902571095	NA	NA
GCA_902613755_1_AG_891_I18	cluster_000064	1	include	include	GCA_902613755.1_AG-891-I18	GCA_902613755.1	Ia.3.V	6	FALSE	Ia.3.V	Ia.3.V	GCA_902613755.1	GCA_902613755.1_AG-891-I18	SAG	TRUE	NA	NA	GCA_902613755_1_AG_891_I18	cluster_000064	1	include	include	GCA_902613755.1_AG-891-I18	GCA_902613755.1	NA	Ia.3.V	Ia.3.V	Ia.3.V	Ia.3.V	GCA_902613755_1	GCA_902613755.1_AG-891-I18	SAG	TRUE	NA	NA	NA	GCA_902613755.1	AG-891-I18	SAG	Ia.3.V	yes	7/14/09	10	31.07	-64.17	97.6	0	0.2919	1381610	243267	72716.3158	162101	0	1470	19	Pachiadaki_et_al__2019	SAG	AG-891-I18	SWC-09	BATS	BATS248	AE0916	BATS	1024800403	10	31.07	_64.17	7/14/09	NASW	GCA_902613755.1_AG-891-I18_genomic	0.291873249	0.027115387	1381610	0	19	19	243267	243267	162101	162101	72716.31579	72716.31579	0.965223905	11	1470	97.63033175	0	315	yes	incl	SAG	Ia.3.V	offshore	10	cluster_000016	cluster_000084	cluster_000059	RED77_6	557	RED88_23	567	RED92_47	568	GCA_902613755.1	GCA_902613755.1_AG-891-I18_BATS_Mixed_Layer_~20%_narB_SAR11_Surface1_Station_BATS_10	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902613755	12	76.43	99.99	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__Pelagibacter_A	s__Pelagibacter_A sp003284275	NA	NA
GCA_902589725_1_AG_914_B14	cluster_000222	1	include	include	GCA_902589725.1_AG-914-B14	GCA_902589725.1	Ia.3.V	6	FALSE	Ia.3.V	Ia.3.V	GCA_902589725.1	GCA_902589725.1_AG-914-B14	SAG	TRUE	NA	NA	GCA_902589725_1_AG_914_B14	cluster_000222	1	include	include	GCA_902589725.1_AG-914-B14	GCA_902589725.1	NA	Ia.3.V	Ia.3.V	Ia.3.V	Ia.3.V	GCA_902589725_1	GCA_902589725.1_AG-914-B14	SAG	TRUE	NA	NA	NA	GCA_902589725.1	AG-914-B14	SAG	Ia.3.V	yes	7/14/09	10	31.07	-64.17	90	0	0.293	1203512	220215	30859.2821	96833	0	1291	39	Pachiadaki_et_al__2019	SAG	AG-914-B14	SWC-09	BATS	BATS248	AE0916	BATS	1024800403	10	31.07	_64.17	7/14/09	NASW	GCA_902589725.1_AG-914-B14_genomic	0.292951794	0.029656454	1203512	0	39	39	220215	220215	96833	96833	30859.28205	30859.28205	0.965500136	11	1291	90.02585093	0.043084877	243	yes	incl	SAG	Ia.3.V	offshore	10	cluster_000016	cluster_000303	cluster_000455	RED77_6	557	RED88_23	567	RED92_47	568	GCA_902589725.1	GCA_902589725.1_AG-914-B14_BATS_Mixed_Layer_~20%_narB_SAR11_Surface1_Station_BATS_10	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902589725	12	71.68	100	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__Pelagibacter	s__Pelagibacter sp902589395	NA	NA
GCA_902566705_1_AG_410_O02	cluster_000344	1	include	include	GCA_902566705.1_AG-410-O02	GCA_902566705.1	Ia.3.V	6	FALSE	Ia.3.V	Ia.3.V	GCA_902566705.1	GCA_902566705.1_AG-410-O02	SAG	TRUE	NA	NA	GCA_902566705_1_AG_410_O02	cluster_000344	1	include	include	GCA_902566705.1_AG-410-O02	GCA_902566705.1	NA	Ia.3.V	Ia.3.V	Ia.3.V	Ia.3.V	GCA_902566705_1	GCA_902566705.1_AG-410-O02	SAG	TRUE	NA	NA	NA	GCA_902566705.1	AG-410-O02	SAG	Ia.3.V	yes	6/28/10	100	9.55	-50.47	90.6	0	0.2928	1117333	186022	30198.1892	65064	0	1241	37	Pachiadaki_et_al__2019	SAG	AG-410-O02	SWC-13	GEOTRACES	GA02(L2)	PE321	35	634604	100	9.55	_50.47	6/28/10	NATR	GCA_902566705.1_AG-410-O02_genomic	0.292842868	0.02879206	1117333	0	37	37	186022	186022	65064	65064	30198.18919	30198.18919	0.962897364	11	1241	90.64389606	0	168	yes	incl	SAG	Ia.3.V	offshore	100	cluster_000016	cluster_000173	cluster_000447	RED77_6	557	RED88_23	567	RED92_47	568	GCA_902566705.1	GCA_902566705.1_AG-410-O02_North_Equatorial_Current_SAR11_Surface1_N_FrenchGuiana_offshore_100	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902566705	12	72.77	100	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__Pelagibacter	s__Pelagibacter sp902619925	NA	NA
GCA_902593445_1_AG_447_E19	cluster_000070	1	include	include	GCA_902593445.1_AG-447-E19	GCA_902593445.1	Ia.3.V	6	FALSE	Ia.3.V	Ia.3.V	GCA_902593445.1	GCA_902593445.1_AG-447-E19	SAG	TRUE	NA	NA	GCA_902593445_1_AG_447_E19	cluster_000070	1	include	include	GCA_902593445.1_AG-447-E19	GCA_902593445.1	NA	Ia.3.V	Ia.3.V	Ia.3.V	Ia.3.V	GCA_902593445_1	GCA_902593445.1_AG-447-E19	SAG	TRUE	NA	NA	NA	GCA_902593445.1	AG-447-E19	SAG	Ia.3.V	yes	11/10/10	21.2	-34.98	16.02	88.1	0	0.294	1191749	85813	23834.98	43202	0	1286	50	Pachiadaki_et_al__2019	SAG	AG-447-E19	SWC-19	GEOTRACES	GA10(L1)	D357	9	237839	21.2	_34.98	16.02	11/10/10	EAFR	GCA_902593445.1_AG-447-E19_genomic	0.293966263	0.02522841	1191749	0	50	50	85813	85813	43202	43202	23834.98	23834.98	0.963606431	11	1286	88.0583082	0	252	yes	incl	SAG	Ia.3.V	offshore	21.2	cluster_000016	cluster_000053	cluster_000061	RED77_6	557	RED88_23	567	RED92_47	568	GCA_902593445.1	GCA_902593445.1_AG-447-E19_Off_the_SW_coast_of_South_Africa_SAR11_Surface1_Cape_Town_offshore_21	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902593445	12	69.59	100	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__Pelagibacter	s__Pelagibacter sp902614055	NA	NA
GCA_902587755_1_AG_913_L03	cluster_000173	1	include	include	GCA_902587755.1_AG-913-L03	GCA_902587755.1	Ia.3.V	6	FALSE	Ia.3.V	Ia.3.V	GCA_902587755.1	GCA_902587755.1_AG-913-L03	SAG	TRUE	NA	NA	GCA_902587755_1_AG_913_L03	cluster_000173	1	include	include	GCA_902587755.1_AG-913-L03	GCA_902587755.1	NA	Ia.3.V	Ia.3.V	Ia.3.V	Ia.3.V	GCA_902587755_1	GCA_902587755.1_AG-913-L03	SAG	TRUE	NA	NA	NA	GCA_902587755.1	AG-913-L03	SAG	Ia.3.V	yes	7/14/09	10	31.07	-64.17	96.2	0	0.2901	1286243	393861	58465.5909	280477	0	1366	22	Pachiadaki_et_al__2019	SAG	AG-913-L03	SWC-09	BATS	BATS248	AE0916	BATS	1024800403	10	31.07	_64.17	7/14/09	NASW	GCA_902587755.1_AG-913-L03_genomic	0.290119363	0.030965284	1286243	0	22	22	393861	393861	280477	280477	58465.59091	58465.59091	0.963852865	11	1366	96.20853081	0	236	yes	incl	SAG	Ia.3.V	offshore	10	cluster_000016	cluster_000067	cluster_000057	RED77_6	557	RED88_23	567	RED92_47	568	GCA_902587755.1	GCA_902587755.1_AG-913-L03_BATS_Mixed_Layer_~20%_narB_SAR11_Surface1_Station_BATS_10	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902587755	12	78.57	100	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__Pelagibacter	s__Pelagibacter sp902570125	NA	NA
GCA_902618695_1_AG_920_D05	cluster_000340	1	include	include	GCA_902618695.1_AG-920-D05	GCA_902618695.1	Ia.3.V	6	FALSE	Ia.3.V	Ia.3.V	GCA_902618695.1	GCA_902618695.1_AG-920-D05	SAG	TRUE	NA	NA	GCA_902618695_1_AG_920_D05	cluster_000340	1	include	include	GCA_902618695.1_AG-920-D05	GCA_902618695.1	NA	Ia.3.V	Ia.3.V	Ia.3.V	Ia.3.V	GCA_902618695_1	GCA_902618695.1_AG-920-D05	SAG	TRUE	NA	NA	NA	GCA_902618695.1	AG-920-D05	SAG	Ia.3.V	yes	7/14/09	10	31.07	-64.17	96.7	0.2	0.2925	1228166	377512	35090.4571	81143	0	1324	35	Pachiadaki_et_al__2019	SAG	AG-920-D05	SWC-09	BATS	BATS248	AE0916	BATS	1024800403	10	31.07	_64.17	7/14/09	NASW	GCA_902618695.1_AG-920-D05_genomic	0.292500362	0.027614385	1228166	0	35	35	377512	377512	81143	81143	35090.45714	35090.45714	0.961733186	11	1324	96.67429319	0.157977883	339	yes	incl	SAG	Ia.3.V	offshore	10	cluster_000016	cluster_000225	cluster_000026	RED77_6	557	RED88_23	567	RED92_47	568	GCA_902618695.1	GCA_902618695.1_AG-920-D05_BATS_Mixed_Layer_~20%_narB_SAR11_Surface1_Station_BATS_10	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902618695	12	83.02	100	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__Pelagibacter_A	s__Pelagibacter_A sp902601705	NA	NA
GCA_902595885_1_AG_447_O14	cluster_000134	1	include	include	GCA_902595885.1_AG-447-O14	GCA_902595885.1	Ia.3.V	6	FALSE	Ia.3.V	Ia.3.V	GCA_902595885.1	GCA_902595885.1_AG-447-O14	SAG	TRUE	NA	NA	GCA_902595885_1_AG_447_O14	cluster_000134	1	include	include	GCA_902595885.1_AG-447-O14	GCA_902595885.1	NA	Ia.3.V	Ia.3.V	Ia.3.V	Ia.3.V	GCA_902595885_1	GCA_902595885.1_AG-447-O14	SAG	TRUE	NA	NA	NA	GCA_902595885.1	AG-447-O14	SAG	Ia.3.V	yes	11/10/10	21.2	-34.98	16.02	85.9	0	0.2929	1119294	216001	28699.8462	58252	0	1210	39	Pachiadaki_et_al__2019	SAG	AG-447-O14	SWC-19	GEOTRACES	GA10(L1)	D357	9	237839	21.2	_34.98	16.02	11/10/10	EAFR	GCA_902595885.1_AG-447-O14_genomic	0.292875688	0.024445603	1119294	0	39	39	216001	216001	58252	58252	28699.84615	28699.84615	0.966980079	11	1210	85.9399684	0	263	yes	incl	SAG	Ia.3.V	offshore	21.2	cluster_000016	cluster_000185	cluster_000170	RED77_6	557	RED88_23	567	RED92_47	568	GCA_902595885.1	GCA_902595885.1_AG-447-O14_Off_the_SW_coast_of_South_Africa_SAR11_Surface1_Cape_Town_offshore_21	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902595885	12	76.58	100	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__Pelagibacter	s__Pelagibacter sp902606115	NA	NA
GCA_902529645_1_AG_896_O18	cluster_000183	1	include	include	GCA_902529645.1_AG-896-O18	GCA_902529645.1	Ia.3.V	6	FALSE	Ia.3.V	Ia.3.V	GCA_902529645.1	GCA_902529645.1_AG-896-O18	SAG	TRUE	NA	NA	GCA_902529645_1_AG_896_O18	cluster_000183	1	include	include	GCA_902529645.1_AG-896-O18	GCA_902529645.1	NA	Ia.3.V	Ia.3.V	Ia.3.V	Ia.3.V	GCA_902529645_1	GCA_902529645.1_AG-896-O18	SAG	TRUE	NA	NA	NA	GCA_902529645.1	AG-896-O18	SAG	Ia.3.V	yes	7/14/09	10	31.07	-64.17	89.7	0	0.2921	1292334	202382	39161.6364	89566	0	1360	33	Pachiadaki_et_al__2019	SAG	AG-896-O18	SWC-09	BATS	BATS248	AE0916	BATS	1024800403	10	31.07	_64.17	7/14/09	NASW	GCA_902529645.1_AG-896-O18_genomic	0.292089352	0.019258267	1292334	0	33	33	202382	202382	89566	89566	39161.63636	39161.63636	0.964599709	11	1360	89.70692379	0	87	yes	incl	SAG	Ia.3.V	offshore	10	cluster_000016	cluster_000306	cluster_000342	RED77_6	557	RED88_23	567	RED92_47	568	GCA_902529645.1	GCA_902529645.1_AG-896-O18_BATS_Mixed_Layer_~20%_narB_SAR11_Surface1_Station_BATS_10	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902529645	12	73.01	99.57	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__Pelagibacter	s__Pelagibacter sp902598265	NA	NA
GCA_902538845_1_AG_349_O05	cluster_000136	1	include	include	GCA_902538845.1_AG-349-O05	GCA_902538845.1	Ia.3.V	6	FALSE	NA	Ia.3.V	GCA_902538845.1	GCA_902538845.1_AG-349-O05	SAG	TRUE	NA	NA	GCA_902538845_1_AG_349_O05	cluster_000136	1	include	include	GCA_902538845.1_AG-349-O05	GCA_902538845.1	Ia.3.V	Ia.3.V	Ia.3.V	NA	Ia.3.V	GCA_902538845_1	GCA_902538845.1_AG-349-O05	SAG	TRUE	NA	NA	NA	GCA_902538845.1	AG-349-O05	SAG	Ia.3.V	include	8/19/09	5	23.75	-158	85.44969222	0	0.291661344	1119353	134192	30252.78378	50134	0	1209	37	Pachiadaki_et_al__2019	SAG	AG-349-O05	SWC-07	HOT	HOT214	KM0920	ALOHA	2140201221	5	23.75	_158	8/19/09	NPTG	GCA_902538845.1_AG-349-O05_genomic	0.291661344	0.032191715	1119353	0	37	37	134192	134192	50134	50134	30252.78378	30252.78378	0.965253142	11	1209	85.44969222	0	34	yes	incl	SAG	Ia.3.V	offshore	5	cluster_000016	cluster_000119	cluster_000130	RED77_6	557	RED88_23	567	RED92_47	568	GCA_003281005.1	GCA_003281005.1_AG-349-O05_HOT_Mixed_Layer_~25%_narB_SAR11_Surface1_Station_ALOHA_5	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp003281005	12	73.58	95.31	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__Pelagibacter	s__Pelagibacter sp902619815	NA	NA
